level_0,index,rank,title,studio,total_gross,gross,theaters,release_date,year,genres
85,91,92,Vanguard,Gravitas Ventures,"$793,525","$793,525","1,375",Nov 20,2020,Action            
86,92,93,Shortcut,Gravitas Ventures,"$793,084","$793,084",725,Sep 25,2020,"Adventure, Fantasy, Horror            "
87,93,94,21 Bridges,STX Entertainment,"$28,539,757","$792,488","2,665",Nov 22,2020,"Action, Crime, Thriller            "
88,95,96,Possessor,Neon,"$752,885","$752,885",320,Oct 2,2020,"Horror, Sci-Fi, Thriller            "
89,96,97,Coco,Walt Disney Studios Motion Pictures,"$210,460,015","$734,000","3,987",Nov 22,2020,"Animation, Adventure, Family            "
90,97,98,After We Collided,Open Road Films (II),"$2,386,265","$733,992",546,Oct 23,2020,"Drama, Romance            "
91,100,101,Baaghi 3,FIP,"$721,439","$721,439",265,Mar 6,2020,"Action, Thriller            "
92,102,103,Patterns of Evidence: The Red Sea Miracle,Fathom Events,"$696,191","$696,191",807,Feb 18,2020,Documentary            
93,103,104,Pain and Glory,Sony Pictures,"$4,567,338","$693,609",266,Oct 4,2020,Drama            
94,104,105,All My Life,Universal Pictures,"$690,825","$690,825",970,Dec 4,2020,"Drama, Romance            "
95,106,107,The Last Vermeer,TriStar Pictures,"$661,357","$661,357",912,Nov 20,2020,Drama            
96,107,108,Merci pour tout,-,"$1,073,969","$636,925",76,Dec 25,2020,Comedy            
97,108,109,Maleficent: Mistress of Evil,Walt Disney Studios Motion Pictures,"$113,929,605","$634,868","3,820",Oct 18,2020,"Adventure, Family, Fantasy            "
98,111,112,Chhapaak,FIP,"$604,334","$604,334",100,Jan 10,2020,"Biography, Drama            "
99,112,113,Panga,FIP,"$582,720","$582,720",102,Jan 24,2020,Drama            
100,113,114,Midway,Lionsgate,"$56,846,802","$567,638","3,242",Nov 8,2020,"Action, Adventure, Drama            "
101,114,115,Black Christmas,Universal Pictures,"$10,429,730","$562,060","2,625",Dec 13,2020,"Horror, Mystery, Thriller            "
102,115,116,Synchronic,Well Go USA Entertainment,"$636,673","$542,753",327,Oct 23,2020,"Drama, Horror, Sci-Fi            "
103,117,118,Color Out of Space,RLJE Films,"$765,561","$541,918",81,Jan 24,2020,"Horror, Mystery, Sci-Fi            "
104,118,119,Followed,Global View Entertainment,"$538,179","$538,179",100,Jun 19,2020,"Adventure, Horror, Thriller            "
105,119,120,Alone,Magnolia Pictures,"$537,589","$537,589",173,Sep 18,2020,"Comedy, Family            "
106,120,121,Harriet,Focus Features,"$43,082,155","$534,455","2,186",Nov 1,2020,"Action, Biography, Drama            "
107,121,122,Kajillionaire,Focus Features,"$531,430","$531,430",547,Sep 25,2020,"Crime, Drama            "
108,122,123,The Addams Family,United Artists Releasing,"$100,044,905","$528,320","4,107",Oct 11,2020,"Comedy, Fantasy            "
109,123,124,The Big Ugly,Vertical Entertainment,"$514,107","$514,107",68,Jul 24,2020,Drama            
110,124,125,100% Wolf,Viva Pictures,"$512,805","$512,805",124,Oct 9,2020,"Animation, Adventure, Comedy            "
111,125,126,The Call,Atlas Distribution Company,"$516,521","$505,746",195,Oct 2,2020,"Crime, Horror, Mystery            "
112,126,127,Dark Waters,Focus Features,"$11,136,084","$502,205","2,112",Nov 22,2020,"Biography, Drama, History            "
113,127,128,Spell,Paramount Pictures,"$500,104","$500,104",369,Oct 30,2020,"Horror, Thriller            "
114,128,129,Ava,Vertical Entertainment,"$497,747","$497,747",252,Sep 25,2020,"Action, Crime, Drama            "
